volt    param        param        lx7
         1/lx8(mp)     -i(mp)         mp
3.30000     6.277e+12    8.015e-12    5.633e-12
3.29000     4.804e+12    8.081e-12    7.361e-12
3.28000     3.676e+12    8.165e-12    9.618e-12
3.27000     2.813e+12    8.275e-12    1.257e-11
3.26000     2.153e+12    8.419e-12    1.642e-11
3.25000     1.648e+12    8.608e-12    2.146e-11
3.24000     1.261e+12    8.854e-12    2.804e-11
3.23000     9.654e+11    9.174e-12    3.663e-11
3.22000     7.388e+11    9.595e-12    4.786e-11
3.21000     5.655e+11    1.014e-11    6.253e-11
3.20000     4.328e+11    1.086e-11    8.170e-11
3.19000     3.312e+11    1.180e-11    1.067e-10
3.18000     2.535e+11    1.302e-11    1.395e-10
3.17000     1.940e+11    1.462e-11    1.822e-10
3.16000     1.485e+11    1.671e-11    2.380e-10
3.15000     1.137e+11    1.944e-11    3.109e-10
3.14000     8.706e+10    2.300e-11    4.062e-10
3.13000     6.664e+10    2.766e-11    5.306e-10
3.12000     5.102e+10    3.374e-11    6.930e-10
3.11000     3.906e+10    4.168e-11    9.052e-10
3.10000     2.991e+10    5.206e-11    1.182e-09
3.09000     2.290e+10    6.561e-11    1.544e-09
3.08000     1.754e+10    8.330e-11    2.016e-09
3.07000     1.343e+10    1.064e-10    2.632e-09
3.06000     1.029e+10    1.366e-10    3.436e-09
3.05000     7.883e+09    1.759e-10    4.486e-09
3.04000     6.039e+09    2.273e-10    5.854e-09
3.03000     4.628e+09    2.944e-10    7.639e-09
3.02000     3.547e+09    3.819e-10    9.967e-09
3.01000     2.719e+09    4.961e-10    1.300e-08
3.00000     2.085e+09    6.450e-10    1.695e-08
2.99000     1.599e+09    8.392e-10    2.210e-08
2.98000     1.227e+09    1.092e-09    2.881e-08
2.97000     9.419e+08    1.422e-09    3.753e-08
2.96000     7.232e+08    1.852e-09    4.887e-08
2.95000     5.555e+08    2.411e-09    6.362e-08
2.94000     4.270e+08    3.139e-09    8.276e-08
2.93000     3.284e+08    4.085e-09    1.076e-07
2.92000     2.527e+08    5.315e-09    1.398e-07
2.91000     1.946e+08    6.913e-09    1.815e-07
2.90000     1.500e+08    8.986e-09    2.355e-07
2.89000     1.157e+08    1.168e-08    3.052e-07
2.88000     8.938e+07    1.516e-08    3.951e-07
2.87000     6.910e+07    1.966e-08    5.109e-07
2.86000     5.350e+07    2.549e-08    6.599e-07
2.85000     4.147e+07    3.300e-08    8.510e-07
2.84000     3.220e+07    4.268e-08    1.096e-06
2.83000     2.504e+07    5.514e-08    1.409e-06
2.82000     1.951e+07    7.114e-08    1.807e-06
2.81000     1.523e+07    9.165e-08    2.314e-06
2.80000     1.191e+07    1.179e-07    2.958e-06
2.79000     9.339e+06    1.514e-07    3.772e-06
2.78000     7.337e+06    1.940e-07    4.799e-06
2.77000     5.777e+06    2.482e-07    6.093e-06
2.76000     4.559e+06    3.170e-07    7.716e-06
2.75000     3.606e+06    4.039e-07    9.750e-06
2.74000     2.859e+06    5.137e-07    1.229e-05
2.73000     2.272e+06    6.518e-07    1.546e-05
