Vsurface_3 (1),Id2-8_2 (1),Id2-8_2 (2),Id2-8_2 (3),Id2-8_2 (4),dId/dv_2-8(1),dId/dv_2-8(2),dId/dv_2-8(3),dId/dv_2-8(4)
1.04E-04,6.38E-08,9.05E-08,9.75E-08,9.75E-08,2.45E-07,2.62E-07,2.44E-07,2.63E-07
0.15008,1.01E-07,1.30E-07,1.34E-07,1.37E-07,3.09E-07,3.41E-07,3.34E-07,3.44E-07
0.30011,1.56E-07,1.93E-07,1.98E-07,2.01E-07,4.53E-07,5.22E-07,5.30E-07,5.35E-07
0.45016,2.36E-07,2.86E-07,2.93E-07,2.98E-07,6.47E-07,7.69E-07,7.80E-07,7.85E-07
0.60018,3.51E-07,4.23E-07,4.32E-07,4.36E-07,9.25E-07,1.11E-06,1.14E-06,1.14E-06
0.75011,5.14E-07,6.20E-07,6.35E-07,6.40E-07,1.36E-06,1.64E-06,1.69E-06,1.69E-06
0.90014,7.58E-07,9.17E-07,9.39E-07,9.44E-07,2.07E-06,2.51E-06,2.58E-06,2.58E-06
1.0502,1.13E-06,1.37E-06,1.41E-06,1.41E-06,3.20E-06,3.88E-06,3.98E-06,4.03E-06
1.2002,1.72E-06,2.08E-06,2.13E-06,2.15E-06,5.09E-06,6.03E-06,6.24E-06,6.27E-06
1.3503,2.66E-06,3.19E-06,3.28E-06,3.30E-06,8.13E-06,9.36E-06,9.66E-06,9.67E-06
1.5002,4.16E-06,4.89E-06,5.03E-06,5.05E-06,1.26E-05,1.39E-05,1.41E-05,1.42E-05
1.6502,6.44E-06,7.35E-06,7.52E-06,7.56E-06,1.83E-05,1.97E-05,2.01E-05,1.99E-05
1.8002,9.66E-06,1.08E-05,1.11E-05,1.10E-05,2.50E-05,2.59E-05,2.59E-05,2.58E-05
1.9503,1.39E-05,1.51E-05,1.53E-05,1.53E-05,3.12E-05,3.14E-05,3.13E-05,3.16E-05
2.1002,1.90E-05,2.02E-05,2.05E-05,2.05E-05,3.65E-05,3.64E-05,3.66E-05,3.70E-05
2.2503,2.49E-05,2.60E-05,2.63E-05,2.64E-05,4.11E-05,4.02E-05,4.01E-05,4.04E-05
2.4003,3.14E-05,3.23E-05,3.25E-05,3.26E-05,4.35E-05,4.22E-05,4.21E-05,4.19E-05
2.5503,3.79E-05,3.87E-05,3.89E-05,3.90E-05,4.37E-05,4.25E-05,4.23E-05,4.19E-05
2.7003,4.45E-05,4.50E-05,4.52E-05,4.52E-05,4.23E-05,4.10E-05,4.06E-05,4.05E-05
2.8503,5.06E-05,5.10E-05,5.10E-05,5.11E-05,3.89E-05,3.80E-05,3.75E-05,3.78E-05
3.0003,5.61E-05,5.64E-05,5.64E-05,5.65E-05,3.68E-05,3.62E-05,3.57E-05,3.59E-05
