Vg_1 (1),Id_2 (2),Derivative Y1
9.16E-05,2.61E-07,5.15E-07
1.50E-01,3.38E-07,6.03E-07
3.00E-01,4.42E-07,7.88E-07
4.50E-01,5.75E-07,1.01E-06
6.00E-01,7.45E-07,1.33E-06
7.50E-01,9.75E-07,1.90E-06
9.00E-01,1.32E-06,2.83E-06
1.05E+00,1.82E-06,4.27E-06
1.20E+00,2.60E-06,6.39E-06
1.35E+00,3.74E-06,9.06E-06
1.50E+00,5.31E-06,1.24E-05
1.65E+00,7.47E-06,1.66E-05
1.80E+00,1.03E-05,2.03E-05
1.95E+00,1.36E-05,2.34E-05
2.10E+00,1.73E-05,2.59E-05
2.25E+00,2.13E-05,2.74E-05
2.40E+00,2.55E-05,2.80E-05
2.55E+00,2.97E-05,2.70E-05
2.7002,3.36E-05,2.48E-05
2.8502,3.72E-05,2.08E-05
3.0002,3.98E-05,1.77E-05
