Time Ch_1 (1),Id_2 (1)
0.10151,2.11E-07
0.87645,3.21E-07
1.1505,5.90E-07
1.4245,8.43E-07
1.6985,1.06E-06
2.1395,1.13E-06
2.4135,1.19E-06
2.6875,1.21E-06
2.9615,1.25E-06
3.2355,1.27E-06
3.5095,1.29E-06
3.7835,1.31E-06
4.0574,1.33E-06
4.3315,1.34E-06
4.6055,1.36E-06
4.8795,1.37E-06
5.1535,1.37E-06
5.4275,1.37E-06
5.7015,1.38E-06
5.9755,1.39E-06
6.2495,1.38E-06
6.5235,1.40E-06
6.7975,1.41E-06
7.0715,1.41E-06
7.3455,1.40E-06
7.6195,1.41E-06
7.8935,1.41E-06
8.1675,1.43E-06
8.4415,1.44E-06
8.7155,1.43E-06
8.9895,1.43E-06
9.2635,1.43E-06
9.5375,1.43E-06
9.8115,1.43E-06
10.086,1.43E-06
10.36,1.44E-06
10.634,1.45E-06
10.908,1.46E-06
11.182,1.46E-06
11.456,1.46E-06
11.731,1.47E-06
12.005,1.47E-06
12.279,1.46E-06
12.553,1.47E-06
12.827,1.48E-06
13.101,1.49E-06
13.375,1.50E-06
13.649,1.51E-06
13.923,1.52E-06
14.197,1.54E-06
14.471,1.54E-06
14.745,1.54E-06
15.019,1.55E-06
15.293,1.55E-06
15.567,1.55E-06
15.841,1.55E-06
16.449,1.56E-06
16.723,1.54E-06
16.997,1.53E-06
17.271,1.53E-06
17.545,1.53E-06
17.819,1.51E-06
18.093,1.51E-06
18.367,1.52E-06
18.641,1.50E-06
18.915,1.51E-06
19.189,1.50E-06
19.463,1.52E-06
19.737,1.54E-06
20.011,1.56E-06
20.285,1.56E-06
20.559,1.52E-06
20.833,1.52E-06
21.107,1.53E-06
21.381,1.54E-06
21.655,1.55E-06
21.929,1.54E-06
22.203,1.54E-06
22.477,1.53E-06
22.751,1.53E-06
23.025,1.53E-06
23.299,1.53E-06
23.573,1.53E-06
23.847,1.54E-06
24.121,1.54E-06
24.395,1.54E-06
24.669,1.53E-06
24.943,1.54E-06
25.217,1.52E-06
25.491,1.53E-06
25.765,1.53E-06
26.039,1.52E-06
26.313,1.51E-06
26.587,1.52E-06
26.861,1.53E-06
27.135,1.54E-06
27.409,1.54E-06
27.683,1.56E-06
27.957,1.53E-06
28.231,1.54E-06
28.505,1.54E-06
28.779,1.53E-06
29.053,1.53E-06
29.327,1.55E-06
29.601,1.55E-06
29.875,1.55E-06
30.149,1.54E-06
30.423,1.53E-06
30.697,1.53E-06
30.971,1.54E-06
31.245,1.56E-06
