Id2-8_2 	Time  	Vs_3      Time  	Id2-7_4  	Time
2.3656e-07	1.6581	0.50004	1.0592	2.9146e-07	2.4934
2.3752e-07	3.6754	0.50004	3.5438	2.9131e-07	3.8432
2.3748e-07	5.0245	0.50004	4.8928	2.9039e-07	5.1923
2.3729e-07	6.3745	0.50004	6.2427	2.8849e-07	6.5422
2.3731e-07	7.7235	0.50004	7.5917	2.8941e-07	7.8912
2.3689e-07	9.0725	0.50004	8.9407	2.8892e-07	9.2402
1.9775e-07	10.422	0.50004	10.29	2.3574e-07	10.589
2.0438e-07	11.771	0.50004	11.639	2.4303e-07	11.938
2.051e-07	13.12	0.50004	12.988	2.4562e-07	13.287
2.0557e-07	14.469	0.50004	14.357	2.4638e-07	14.636
2.0535e-07	15.818	0.50004	15.686	2.4498e-07	15.985
2.051e-07	17.5	0.50004	17.068	2.4422e-07	18.001
2.0252e-07	19.183	0.50004	19.051	2.4515e-07	19.35
2.037e-07	20.532	0.50004	20.4	2.4465e-07	20.699
2.0315e-07	21.881	0.50004	21.749	2.4315e-07	22.048
2.0335e-07	23.23	0.50004	23.098	2.4236e-07	23.397
2.0157e-07	24.579	0.50004	24.447	2.414e-07	24.746
2.025e-07	25.929	0.50004	25.797	2.407e-07	26.096
2.0185e-07	27.278	0.50004	27.146	2.4015e-07	27.445
2.0163e-07	28.627	0.50004	28.495	2.4141e-07	28.794
2.0185e-07	29.976	0.50004	29.844	2.4113e-07	30.144
2.0148e-07	31.325	0.50004	31.193	2.4057e-07	31.493
2.003e-07	33.007	0.50004	32.575	2.3949e-07	33.509
2.0049e-07	34.69	0.50004	34.558	2.3945e-07	34.858
2.0069e-07	36.039	0.50004	35.907	2.3856e-07	36.207
2e-07	37.388	0.50004	37.256	2.3779e-07	37.556
1.9987e-07	38.737	0.50004	38.605	2.3817e-07	38.905
1.9906e-07	40.086	0.50004	39.954	2.3775e-07	40.254
1.9872e-07	41.435	0.50004	41.303	2.3649e-07	41.603
1.9921e-07	42.784	0.50004	42.652	2.3715e-07	42.952
1.9883e-07	44.133	0.50004	44.001	2.3665e-07	44.301
1.9896e-07	45.482	0.50004	45.35	2.3568e-07	45.65
1.9796e-07	46.831	0.50004	46.699	2.3605e-07	46.999
1.9855e-07	48.514	0.50004	48.082	2.3541e-07	49.015
1.9766e-07	50.196	0.50004	50.064	2.3467e-07	50.364
1.9714e-07	51.545	0.50004	51.413	2.3461e-07	51.713
1.974e-07	52.894	0.50004	52.762	2.3454e-07	53.062
1.9725e-07	54.243	0.50004	54.111	2.3434e-07	54.411
1.9733e-07	55.592	0.50004	55.46	2.3426e-07	55.76
1.9716e-07	56.941	0.50004	56.809	2.336e-07	57.109
1.9709e-07	58.29	0.50004	58.158	2.3406e-07	58.458
1.9659e-07	59.639	0.50004	59.507	2.3338e-07	59.807
1.9638e-07	60.988	0.50004	60.856	2.3415e-07	61.156
1.9677e-07	62.337	0.50004	62.205	2.3328e-07	62.505
1.9622e-07	64.02	0.50005	63.588	2.3302e-07	64.521
1.9633e-07	65.702	0.50004	65.57	2.3222e-07	65.87
1.9669e-07	67.051	0.50004	66.919	2.327e-07	67.219
1.9657e-07	68.4	0.50004	68.268	2.3241e-07	68.568
1.9613e-07	69.749	0.50004	69.617	2.3161e-07	69.917
1.9579e-07	71.098	0.50004	70.966	2.3177e-07	71.266
1.9594e-07	72.447	0.50004	72.315	2.314e-07	72.615
1.9557e-07	73.796	0.50004	73.664	2.3226e-07	73.964
1.9507e-07	75.145	0.50004	75.013	2.3268e-07	75.313
1.958e-07	76.494	0.50004	76.362	2.3263e-07	76.662
1.9568e-07	77.843	0.50004	77.711	2.3153e-07	78.011
1.9653e-07	79.526	0.50004	79.094	2.3105e-07	80.027
1.9566e-07	81.209	0.50004	81.076	2.2967e-07	81.376
1.9525e-07	82.558	0.50004	82.425	2.2852e-07	82.725
1.9524e-07	83.907	0.50004	83.774	2.2929e-07	84.074
1.953e-07	85.256	0.50004	85.123	2.296e-07	85.423
1.9541e-07	86.605	0.50004	86.472	2.2995e-07	86.772
1.9507e-07	87.954	0.50004	87.821	2.2897e-07	88.121
1.9493e-07	89.303	0.50004	89.17	2.2871e-07	89.47
1.9471e-07	90.652	0.50004	90.519	2.285e-07	90.819
1.9539e-07	92.001	0.50004	91.868	2.2756e-07	92.168
1.9491e-07	93.351	0.50004	93.218	2.273e-07	93.518
1.9499e-07	95.033	0.50004	94.601	2.2868e-07	95.534
1.9409e-07	96.716	0.50004	96.583	2.2819e-07	96.883
1.9377e-07	98.065	0.50004	97.932	2.2846e-07	98.232
1.941e-07	99.414	0.50004	99.281	2.2823e-07	99.581
1.9411e-07	100.76	0.50004	100.63	2.2994e-07	100.93
1.9436e-07	102.11	0.50004	101.98	2.2973e-07	102.28
1.9406e-07	103.46	0.50004	103.33	2.2797e-07	103.63
1.9411e-07	104.81	0.50005	104.68	2.2792e-07	104.98
1.9407e-07	106.16	0.50004	106.03	2.272e-07	106.33
1.9333e-07	107.51	0.50004	107.38	2.2758e-07	107.68
1.938e-07	108.86	0.50004	108.72	2.2704e-07	109.02
1.9356e-07	110.54	0.50004	110.11	2.2731e-07	111.04
1.9393e-07	112.22	0.50004	112.09	2.274e-07	112.39
1.9426e-07	113.57	0.50004	113.44	2.2726e-07	113.74
1.9283e-07	114.92	0.50004	114.79	2.2681e-07	115.09
1.9311e-07	116.27	0.50004	116.14	2.2645e-07	116.44
1.9285e-07	117.62	0.50004	117.49	2.2668e-07	117.79
1.9307e-07	118.97	0.50004	118.83	2.2674e-07	119.13
1.9426e-07	120.32	0.50004	120.18	2.2683e-07	120.48
1.9446e-07	121.67	0.50005	121.53	2.2607e-07	121.83
1.9429e-07	123.01	0.50004	122.88	2.2692e-07	123.18
1.9427e-07	124.36	0.50004	124.23	2.2618e-07	124.53
1.9423e-07	126.05	0.50005	125.61	2.2602e-07	126.55
1.9291e-07	127.73	0.50004	127.6	2.2719e-07	127.9
1.9287e-07	129.08	0.50004	128.94	2.2686e-07	129.24
1.9242e-07	130.43	0.50004	130.29	2.2638e-07	130.59
1.9272e-07	131.78	0.50004	131.64	2.2572e-07	131.94
1.9275e-07	133.12	0.50004	132.99	2.2619e-07	133.29
1.9252e-07	134.47	0.50004	134.34	2.2609e-07	134.64
1.9296e-07	135.82	0.50004	135.69	2.263e-07	135.99
1.931e-07	137.17	0.50004	137.04	2.2586e-07	137.34
1.9305e-07	138.52	0.50004	138.39	2.2592e-07	138.69
1.931e-07	139.87	0.50004	139.74	2.2627e-07	140.04
1.9261e-07	141.55	0.50004	141.12	2.2635e-07	142.05
1.9272e-07	143.23	0.50004	143.1	2.2616e-07	143.4
1.9207e-07	144.58	0.50004	144.45	2.2636e-07	144.75
1.9239e-07	145.93	0.50004	145.8	2.2688e-07	146.1
1.9204e-07	147.28	0.50004	147.15	2.266e-07	147.45
1.9233e-07	148.63	0.50004	148.5	2.2636e-07	148.8
1.927e-07	149.98	0.50004	149.85	2.2635e-07	150.15
1.9273e-07	151.33	0.50004	151.2	2.261e-07	151.5
1.9289e-07	152.68	0.50004	152.54	2.2749e-07	152.85
1.9286e-07	154.03	0.50004	153.89	2.2646e-07	154.19
1.9257e-07	155.38	0.50005	155.24	2.2618e-07	155.54
1.9286e-07	157.06	0.50004	156.63	2.2545e-07	157.56
1.9294e-07	158.74	0.50004	158.61	2.2587e-07	158.91
1.926e-07	160.09	0.50004	159.96	2.2558e-07	160.26
1.9184e-07	161.44	0.50004	161.31	2.2537e-07	161.61
1.9253e-07	162.79	0.50004	162.66	2.2627e-07	162.96
1.9293e-07	164.14	0.50004	164	2.2628e-07	164.3
1.924e-07	165.49	0.50004	165.35	2.2571e-07	165.65
1.9243e-07	166.83	0.50004	166.7	2.2558e-07	167
1.9239e-07	168.18	0.50004	168.05	2.2485e-07	168.35
1.9173e-07	169.53	0.50004	169.4	2.2536e-07	169.7
1.9227e-07	170.88	0.50004	170.75	2.2538e-07	171.05
1.9234e-07	172.56	0.50004	172.13	2.2552e-07	173.07
1.9243e-07	174.25	0.50004	174.11	2.2588e-07	174.41
1.9212e-07	175.6	0.50004	175.46	2.2507e-07	175.76
1.922e-07	176.94	0.50004	176.81	2.2752e-07	177.11
1.9228e-07	178.29	0.50004	178.16	2.2804e-07	178.46
1.9102e-07	179.64	0.50004	179.51	2.2745e-07	179.81
1.9071e-07	180.99	0.50004	180.86	2.2687e-07	181.16
1.92e-07	182.34	0.50004	182.21	2.2692e-07	182.51
1.9063e-07	183.69	0.50004	183.56	2.2574e-07	183.86
1.9169e-07	185.04	0.50004	184.91	2.264e-07	185.21
1.9208e-07	186.39	0.50004	186.26	2.2707e-07	186.56
1.9234e-07	188.07	0.50004	187.64	2.2664e-07	188.57
1.9208e-07	189.75	0.50004	189.62	2.2605e-07	189.92
1.9216e-07	191.1	0.50005	190.97	2.2578e-07	191.27
1.9137e-07	192.45	0.50004	192.32	2.2779e-07	192.62
1.9176e-07	193.8	0.50004	193.67	2.2672e-07	193.97
1.9219e-07	195.15	0.50004	195.02	2.2645e-07	195.32
1.9147e-07	196.5	0.50004	196.37	2.2619e-07	196.67
1.9268e-07	197.85	0.50004	197.71	2.2638e-07	198.01
1.9271e-07	199.2	0.50004	199.06	2.2789e-07	199.36
1.9279e-07	200.55	0.50004	200.41	2.2704e-07	200.71
1.9187e-07	201.89	0.50004	201.76	2.276e-07	202.06
1.9234e-07	203.58	0.50004	203.17	2.2734e-07	204.08
1.9221e-07	205.26	0.50004	205.13	2.2703e-07	205.43
1.9186e-07	206.61	0.50004	206.48	2.265e-07	206.78
1.9148e-07	207.96	0.50004	207.82	2.2643e-07	208.13
1.9183e-07	209.31	0.50004	209.17	2.2712e-07	209.47
1.9228e-07	210.66	0.50004	210.52	2.2691e-07	210.82
1.9134e-07	212	0.50004	211.87	2.2643e-07	212.17
1.9132e-07	213.35	0.50004	213.22	2.2731e-07	213.52
1.9188e-07	214.7	0.50004	214.57	2.2754e-07	214.87
1.923e-07	216.05	0.50004	215.92	2.269e-07	216.22
